review_id,section_header,ref_marker,target_xml_id,raw_citation,doi,title,year
14_Mateo_2007_BiotechnolAdv,Stabilization of enzymes via immobilization,[8],b18,Thermostabilization of proteins M N Gupta Biotechnol Appl Biochem 14 1991,,Thermostabilization of proteins,1991
14_Mateo_2007_BiotechnolAdv,Stabilization of enzymes via immobilization,[9],b19,Approaches to enzyme stabilization A M Klibanov Biochem Soc Trans 11 1983,,Approaches to enzyme stabilization,1983
14_Mateo_2007_BiotechnolAdv,Stabilization of enzymes via immobilization,[10],b20,Stabilisation of enzymes against thermal inactivation A M Klibanov Adv Appl Microbiol 29 1982,,Stabilisation of enzymes against thermal inactivation,1982
14_Mateo_2007_BiotechnolAdv,Stabilization of enzymes via immobilization,[11],b21,Enzyme stabilization by immobilization A M Klibanov Anal Biochem 93 1979,,Enzyme stabilization by immobilization,1979
14_Mateo_2007_BiotechnolAdv,Stabilization of enzymes via immobilization,[12],b22,Enzyme stabilization: state of the art Liliana Gianfreda Mariarosaria Scarfi 10.1007/bf00234161 Molecular and Cellular Biochemistry Mol Cell Biochem 0300-8177 1573-4919 100 2 1991 Springer Science and Business Media LLC,10.1007/bf00234161,Enzyme stabilization: state of the art,1991
14_Mateo_2007_BiotechnolAdv,Stabilization of enzymes via immobilization,[13],b23,Operational stability of copolymerized enzymes at elevated temperatures V V Mozhaev V A Šikšnis V P Torchilin Karel Martinek 10.1002/bit.260250804 Biotechnology and Bioengineering Biotech & Bioengineering 0006-3592 1097-0290 25 8 1983 Wiley,10.1002/bit.260250804,Operational stability of copolymerized enzymes at elevated temperatures,1983
14_Mateo_2007_BiotechnolAdv,Stabilization of enzymes via immobilization,[14],b24,The principles of enzyme stabilisation. I. Increase in thermostability of enzymes covalently bound to a complementary surface of a polymer support in a multi-point fashion K Martinek A M Klibanov V S Goldmacher I V Berezin Biochim Biophys Acta 485 1977,,The principles of enzyme stabilisation. I. Increase in thermostability of enzymes covalently bound to a complementary surface of a polymer support in a multi-point fashion,1977
14_Mateo_2007_BiotechnolAdv,Stabilization of enzymes via immobilization,[15],b25,Strategy for Stabilizing Enzymes Part One: Increasing Stability of Enzymes via their Multi-Point Interaction with a Support V V Mozhaev N S Melik-Nubarov M V Sergeeva Virginius Šikšnis Karel Martinek 10.3109/10242429008992060 Biocatalysis Biocatalysis 0886-4454 3 3 1990 Informa UK Limited,10.3109/10242429008992060,Strategy for Stabilizing Enzymes Part One: Increasing Stability of Enzymes via their Multi-Point Interaction with a Support,1990
14_Mateo_2007_BiotechnolAdv,Stabilization of enzymes via immobilization,[16],b26,Immobilisation and properties of Bacillus stearothermophilus pullalanase R J Nanalov M S Kamboure E I Emanuiloda Biotechnol Appl Biochem 18 1993,,Immobilisation and properties of Bacillus stearothermophilus pullalanase,1993
14_Mateo_2007_BiotechnolAdv,Stabilization of enzymes via immobilization,[17],b27,Preparation and properties of glucose isomerase immobilised on Indon 48-R S S Desmukh M Dutta S Choudohury V Shanker Appl Biochem Biotechnol 42 1993,,Preparation and properties of glucose isomerase immobilised on Indon 48-R,1993
14_Mateo_2007_BiotechnolAdv,Stabilization of enzymes via immobilization,[18],b28,Immobilised nucleases L G Roddy V Shanke Crit Rev Biotechnol 13 1993,,Immobilised nucleases,1993
14_Mateo_2007_BiotechnolAdv,Operational stabilization of enzymes by immobilization on porous supports,[19],b29,Deactivation of Formate Dehydrogenase (FDH) in Solution and at Gas‐Liquid Interfaces Andreas S Bommarius Andreas Karau 10.1021/bp050249q Biotechnology Progress Biotechnology Progress 8756-7938 1520-6033 21 6 2005 Wiley,10.1021/bp050249q,Deactivation of Formate Dehydrogenase (FDH) in Solution and at Gas‐Liquid Interfaces,2005
14_Mateo_2007_BiotechnolAdv,Operational stabilization of enzymes by immobilization on porous supports,[20],b30,Lysozyme inactivation by inert gas bubbling: kinetics in a bubble column reactor Mylène Caussette Alain Gaunand Henri Planche Sophie Colombié Pierre Monsan Brigitte Lindet 10.1016/s0141-0229(98)00151-3 Enzyme and Microbial Technology Enzyme and Microbial Technology 0141-0229 24 7 1998 Elsevier BV,10.1016/s0141-0229(98)00151-3,Lysozyme inactivation by inert gas bubbling: kinetics in a bubble column reactor,1998
14_Mateo_2007_BiotechnolAdv,Operational stabilization of enzymes by immobilization on porous supports,[21],b31,Lysozyme inactivation by inert gas bubbling: kinetics in a bubble column reactor Mylène Caussette Alain Gaunand Henri Planche Sophie Colombié Pierre Monsan Brigitte Lindet 10.1016/s0141-0229(98)00151-3 Enzyme and Microbial Technology Enzyme and Microbial Technology 0141-0229 24 7 1999 Elsevier BV,10.1016/s0141-0229(98)00151-3,Lysozyme inactivation by inert gas bubbling: kinetics in a bubble column reactor,1999
14_Mateo_2007_BiotechnolAdv,Operational stabilization of enzymes by immobilization on porous supports,[22],b32,Lysozyme inactivation and aggregation in stirred-reactor Sophie Colombié Alain Gaunand Brigitte Lindet 10.1016/s1381-1177(00)00044-8 Journal of Molecular Catalysis B: Enzymatic Journal of Molecular Catalysis B: Enzymatic 1381-1177 11 4-6 2001 Elsevier BV,10.1016/s1381-1177(00)00044-8,Lysozyme inactivation and aggregation in stirred-reactor,2001
14_Mateo_2007_BiotechnolAdv,Operational stabilization of enzymes by immobilization on porous supports,"[23,",b33,"Selective oxidation: stabilisation by multipoint attachment of ferredoxin NADP+ reductase, an interesting cofactor recycling enzyme M Teresa Bes Carlos Gomez-Moreno Jose M Guisan Roberto Fernandez-Lafuente 10.1016/1381-1169(95)00019-4 Journal of Molecular Catalysis A: Chemical Journal of Molecular Catalysis A: Chemical 1381-1169 98 3 1995 Elsevier BV",10.1016/1381-1169(95)00019-4,"Selective oxidation: stabilisation by multipoint attachment of ferredoxin NADP+ reductase, an interesting cofactor recycling enzyme",1995
14_Mateo_2007_BiotechnolAdv,Operational stabilization of enzymes by immobilization on porous supports,24],b34,Stabilization of a formate dehydrogenase by covalent immobilization on highly activated glyoxyl-agarose supports J M Bolivar L Wilson S A Ferrarotti R Fernandez-Lafuente J M Guisan C Mateo Biomacromolecules 7 2006,,Stabilization of a formate dehydrogenase by covalent immobilization on highly activated glyoxyl-agarose supports,2006
14_Mateo_2007_BiotechnolAdv,Operational stabilization of enzymes by immobilization on porous supports,[25],b35,Silica-encapsulated nanomagnetic particle as a new recoverable biocatalyst carrier S C Tsang C H Yu X Gao K Tam J Phys Chem B 110 2006,,Silica-encapsulated nanomagnetic particle as a new recoverable biocatalyst carrier,2006
14_Mateo_2007_BiotechnolAdv,Operational stabilization of enzymes by immobilization on porous supports,[26],b36,Preparation and characterization of dendritic composite magnetic particles as a novel enzyme immobilization carrier Li Zeng Kaikun Luo Yuefa Gong 10.1016/j.molcatb.2005.10.007 Journal of Molecular Catalysis B: Enzymatic Journal of Molecular Catalysis B: Enzymatic 1381-1177 38 1 2006 Elsevier BV,10.1016/j.molcatb.2005.10.007,Preparation and characterization of dendritic composite magnetic particles as a novel enzyme immobilization carrier,2006
14_Mateo_2007_BiotechnolAdv,Operational stabilization of enzymes by immobilization on porous supports,[27],b37,Alpha-amylase immobilized by Fe3O 4 poly(styrene-co-maleic anhydride) magnetic composite microspheres: preparation and characterization G M Qiu B K Zhu Y Y Xu J Appl Polym Sci 95 2005,,Alpha-amylase immobilized by Fe3O 4 poly(styrene-co-maleic anhydride) magnetic composite microspheres: preparation and characterization,2005
14_Mateo_2007_BiotechnolAdv,Operational stabilization of enzymes by immobilization on porous supports,[28],b38,Dextran aldehyde coating of glucose oxidase immobilized on magnetic nanoparticles prevents its inactivation by gas bubbles Lorena Betancor Manuel Fuentes Gisella Dellamora-Ortiz Fernando López-Gallego Aurelio Hidalgo Noelia Alonso-Morales Cesar Mateo José M Guisán Roberto Fernández-Lafuente 10.1016/j.molcatb.2004.11.003 Journal of Molecular Catalysis B: Enzymatic Journal of Molecular Catalysis B: Enzymatic 1381-1177 32 3 2005 Elsevier BV,10.1016/j.molcatb.2004.11.003,Dextran aldehyde coating of glucose oxidase immobilized on magnetic nanoparticles prevents its inactivation by gas bubbles,2005
14_Mateo_2007_BiotechnolAdv,Rigidification of the enzyme structure by multipoint covalent immobilization,[8],b18,Thermostabilization of proteins M N Gupta Biotechnol Appl Biochem 14 1991,,Thermostabilization of proteins,1991
14_Mateo_2007_BiotechnolAdv,Rigidification of the enzyme structure by multipoint covalent immobilization,[9],b19,Approaches to enzyme stabilization A M Klibanov Biochem Soc Trans 11 1983,,Approaches to enzyme stabilization,1983
14_Mateo_2007_BiotechnolAdv,Rigidification of the enzyme structure by multipoint covalent immobilization,[10],b20,Stabilisation of enzymes against thermal inactivation A M Klibanov Adv Appl Microbiol 29 1982,,Stabilisation of enzymes against thermal inactivation,1982
14_Mateo_2007_BiotechnolAdv,Rigidification of the enzyme structure by multipoint covalent immobilization,[11],b21,Enzyme stabilization by immobilization A M Klibanov Anal Biochem 93 1979,,Enzyme stabilization by immobilization,1979
14_Mateo_2007_BiotechnolAdv,Rigidification of the enzyme structure by multipoint covalent immobilization,[12],b22,Enzyme stabilization: state of the art Liliana Gianfreda Mariarosaria Scarfi 10.1007/bf00234161 Molecular and Cellular Biochemistry Mol Cell Biochem 0300-8177 1573-4919 100 2 1991 Springer Science and Business Media LLC,10.1007/bf00234161,Enzyme stabilization: state of the art,1991
14_Mateo_2007_BiotechnolAdv,Rigidification of the enzyme structure by multipoint covalent immobilization,[13],b23,Operational stability of copolymerized enzymes at elevated temperatures V V Mozhaev V A Šikšnis V P Torchilin Karel Martinek 10.1002/bit.260250804 Biotechnology and Bioengineering Biotech & Bioengineering 0006-3592 1097-0290 25 8 1983 Wiley,10.1002/bit.260250804,Operational stability of copolymerized enzymes at elevated temperatures,1983
14_Mateo_2007_BiotechnolAdv,Rigidification of the enzyme structure by multipoint covalent immobilization,[14],b24,The principles of enzyme stabilisation. I. Increase in thermostability of enzymes covalently bound to a complementary surface of a polymer support in a multi-point fashion K Martinek A M Klibanov V S Goldmacher I V Berezin Biochim Biophys Acta 485 1977,,The principles of enzyme stabilisation. I. Increase in thermostability of enzymes covalently bound to a complementary surface of a polymer support in a multi-point fashion,1977
14_Mateo_2007_BiotechnolAdv,Rigidification of the enzyme structure by multipoint covalent immobilization,[15],b25,Strategy for Stabilizing Enzymes Part One: Increasing Stability of Enzymes via their Multi-Point Interaction with a Support V V Mozhaev N S Melik-Nubarov M V Sergeeva Virginius Šikšnis Karel Martinek 10.3109/10242429008992060 Biocatalysis Biocatalysis 0886-4454 3 3 1990 Informa UK Limited,10.3109/10242429008992060,Strategy for Stabilizing Enzymes Part One: Increasing Stability of Enzymes via their Multi-Point Interaction with a Support,1990
14_Mateo_2007_BiotechnolAdv,Rigidification of the enzyme structure by multipoint covalent immobilization,"[11,",b21,Enzyme stabilization by immobilization A M Klibanov Anal Biochem 93 1979,,Enzyme stabilization by immobilization,1979
14_Mateo_2007_BiotechnolAdv,Rigidification of the enzyme structure by multipoint covalent immobilization,"13,",b23,Operational stability of copolymerized enzymes at elevated temperatures V V Mozhaev V A Šikšnis V P Torchilin Karel Martinek 10.1002/bit.260250804 Biotechnology and Bioengineering Biotech & Bioengineering 0006-3592 1097-0290 25 8 1983 Wiley,10.1002/bit.260250804,Operational stability of copolymerized enzymes at elevated temperatures,1983
14_Mateo_2007_BiotechnolAdv,Rigidification of the enzyme structure by multipoint covalent immobilization,14],b24,The principles of enzyme stabilisation. I. Increase in thermostability of enzymes covalently bound to a complementary surface of a polymer support in a multi-point fashion K Martinek A M Klibanov V S Goldmacher I V Berezin Biochim Biophys Acta 485 1977,,The principles of enzyme stabilisation. I. Increase in thermostability of enzymes covalently bound to a complementary surface of a polymer support in a multi-point fashion,1977
14_Mateo_2007_BiotechnolAdv,Rigidification of the enzyme structure by multipoint covalent immobilization,[29],b39,Effect of the support and experimental conditions in the intensity of the multipoint covalent attachment of proteins on glyoxyl-agarose supports: Correlation between enzyme–support linkages and thermal stability Justo Pedroche Maria Del Mar Yust Cesar Mateo Roberto Fernández-Lafuente Julio Girón-Calle Manuel Alaiz Javier Vioque José M Guisán Francisco Millán 10.1016/j.enzmictec.2006.08.023 Enzyme and Microbial Technology Enzyme and Microbial Technology 0141-0229 40 5 2007 Elsevier BV,10.1016/j.enzmictec.2006.08.023,Effect of the support and experimental conditions in the intensity of the multipoint covalent attachment of proteins on glyoxyl-agarose supports: Correlation between enzyme–support linkages and thermal stability,2007
14_Mateo_2007_BiotechnolAdv,Selection of proper immobilization supports,"[30,",b40,Glyoxyl-agarose: a fully inert hydrophilic support for immobilization and high stabilization of proteins C Mateo J M Palomo M Fuentes L Betancor V Grazu F López-Gallego Enzyme Microb Technol 39 2006,,Glyoxyl-agarose: a fully inert hydrophilic support for immobilization and high stabilization of proteins,2006
14_Mateo_2007_BiotechnolAdv,Selection of proper immobilization supports,31],b41,"Eupergit® C, a carrier for immobilization of enzymes of industrial potential Ephraim Katchalski-Katzir Dieter M Kraemer 10.1016/s1381-1177(00)00124-7 Journal of Molecular Catalysis B: Enzymatic Journal of Molecular Catalysis B: Enzymatic 1381-1177 10 1-3 2000 Elsevier BV",10.1016/s1381-1177(00)00124-7,"Eupergit® C, a carrier for immobilization of enzymes of industrial potential",2000
14_Mateo_2007_BiotechnolAdv,Selection of proper immobilization supports,"[32,",b42,Glyoxyl agarose as a new chromatographic matrix V Grazú L Betancor T Montes F Lopez-Gallego J M Guisan R Fernandez-Lafuente Enzyme Microb Technol 38 2006,,Glyoxyl agarose as a new chromatographic matrix,2006
14_Mateo_2007_BiotechnolAdv,Selection of proper immobilization supports,33],b43,Some special features of glyoxyl supports to immobilize proteins Cesar Mateo Olga Abian Marieta Bernedo Emma Cuenca Manuel Fuentes Gloria Fernandez-Lorente Jose M Palomo Valeria Grazu Benevides C C Pessela Cecilia Giacomini Gabriela Irazoqui Andrea Villarino Karen Ovsejevi Francisco Batista-Viera Roberto Fernandez-Lafuente Jose M Guisán 10.1016/j.enzmictec.2005.03.020 Enzyme and Microbial Technology Enzyme and Microbial Technology 0141-0229 37 4 2005 Elsevier BV,10.1016/j.enzmictec.2005.03.020,Some special features of glyoxyl supports to immobilize proteins,2005
14_Mateo_2007_BiotechnolAdv,Selection of proper immobilization supports,[34],b44,Preparation of a very stable immobilized biocatalyst of glucose oxidase from Aspergillus niger L Betancor F López-Gallego A Hidalgo N Alonso-Morales G Dellamora-Ortiz J M Guisán J Biotechnol 121 2006,,Preparation of a very stable immobilized biocatalyst of glucose oxidase from Aspergillus niger,2006
14_Mateo_2007_BiotechnolAdv,Selection of proper immobilization supports,[35],b45,Preparation of a robust biocatalyst of d-amino acid oxidase on sepabeads supports using the glutaraldehyde crosslinking method Fernando López-Gallego Lorena Betancor Aurelio Hidalgo Noelia Alonso Gloria Fernandez-Lorente Jose M Guisan Roberto Fernandez-Lafuente 10.1016/j.enzmictec.2005.04.016 Enzyme and Microbial Technology Enzyme and Microbial Technology 0141-0229 37 7 2005 Elsevier BV,10.1016/j.enzmictec.2005.04.016,Preparation of a robust biocatalyst of d-amino acid oxidase on sepabeads supports using the glutaraldehyde crosslinking method,2005
14_Mateo_2007_BiotechnolAdv,Selection of proper immobilization supports,[36],b46,Immobilization and stabilization of glutaryl acylase on aminated sepabeads supports by the glutaraldehyde crosslinking method Noelia Alonso Fernando López-Gallego Lorena Betancor Aurelio Hidalgo Cesar Mateo Jose M Guisan Roberto Fernandez-Lafuente 10.1016/j.molcatb.2005.05.007 Journal of Molecular Catalysis B: Enzymatic Journal of Molecular Catalysis B: Enzymatic 1381-1177 35 1-3 2005 Elsevier BV,10.1016/j.molcatb.2005.05.007,Immobilization and stabilization of glutaryl acylase on aminated sepabeads supports by the glutaraldehyde crosslinking method,2005
14_Mateo_2007_BiotechnolAdv,Selection of proper immobilization supports,[37],b47,"Glutaraldehyde: Behavior in Aqueous Solution, Reaction with Proteins, and Application to Enzyme Crosslinking Isabelle Migneault Catherine Dartiguenave Michel J Bertrand Karen C Waldron 10.2144/04375rv01 BioTechniques BioTechniques 0736-6205 1940-9818 37 5 2004 Informa UK Limited",10.2144/04375rv01,"Glutaraldehyde: Behavior in Aqueous Solution, Reaction with Proteins, and Application to Enzyme Crosslinking",2004
14_Mateo_2007_BiotechnolAdv,Selection of proper immobilization supports,[38],b48,Different mechanisms of protein immobilization on glutaraldehyde activated supports: effect of support activation and immobilization conditions L Betancor F López-Gallego A Hidalgo N Alonso-Morales G Dellamora-Ortiz C Mateo Enzyme Microb Technol 39 2006,,Different mechanisms of protein immobilization on glutaraldehyde activated supports: effect of support activation and immobilization conditions,2006
14_Mateo_2007_BiotechnolAdv,Selection of proper immobilization supports,[39],b49,Comparison of two glutaraldehyde immobilization techniques for solid‐phase tryptic peptide mapping of human hemoglobin by capillary zone electrophoresis and mass spectrometry Isabelle Migneault Catherine Dartiguenave Joëlle Vinh Michel J Bertrand Karen C Waldron 10.1002/elps.200305861 ELECTROPHORESIS Electrophoresis 0173-0835 1522-2683 25 9 2004 Wiley,10.1002/elps.200305861,Comparison of two glutaraldehyde immobilization techniques for solid‐phase tryptic peptide mapping of human hemoglobin by capillary zone electrophoresis and mass spectrometry,2004
14_Mateo_2007_BiotechnolAdv,Selection of proper immobilization supports,[40],b50,Enzyme stabilization by glutaraldehyde crosslinking of adsorbed proteins on aminated supports F López-Gallego L Betancor C Mateo A Hidalgo N Alonso-Morales G Dellamora-Ortiz J Biotechnol 119 2005,,Enzyme stabilization by glutaraldehyde crosslinking of adsorbed proteins on aminated supports,2005
14_Mateo_2007_BiotechnolAdv,Selection of suitable immobilization conditions,"[30,",b40,Glyoxyl-agarose: a fully inert hydrophilic support for immobilization and high stabilization of proteins C Mateo J M Palomo M Fuentes L Betancor V Grazu F López-Gallego Enzyme Microb Technol 39 2006,,Glyoxyl-agarose: a fully inert hydrophilic support for immobilization and high stabilization of proteins,2006
14_Mateo_2007_BiotechnolAdv,Selection of suitable immobilization conditions,41],b51,Immobilization-stabilization of enzymes; variables that control the intensity of the trypsin (amine)-agarose (aldehyde) multipoint attachment Rosa M Blanco Juan J Calvete Josém. Guisán 10.1016/0141-0229(89)90019-7 Enzyme and Microbial Technology Enzyme and Microbial Technology 0141-0229 11 6 1988 Elsevier BV,10.1016/0141-0229(89)90019-7,Immobilization-stabilization of enzymes; variables that control the intensity of the trypsin (amine)-agarose (aldehyde) multipoint attachment,1988
14_Mateo_2007_BiotechnolAdv,Selection of suitable immobilization conditions,[30],b40,Glyoxyl-agarose: a fully inert hydrophilic support for immobilization and high stabilization of proteins C Mateo J M Palomo M Fuentes L Betancor V Grazu F López-Gallego Enzyme Microb Technol 39 2006,,Glyoxyl-agarose: a fully inert hydrophilic support for immobilization and high stabilization of proteins,2006
14_Mateo_2007_BiotechnolAdv,Selection of suitable immobilization conditions,[30],b40,Glyoxyl-agarose: a fully inert hydrophilic support for immobilization and high stabilization of proteins C Mateo J M Palomo M Fuentes L Betancor V Grazu F López-Gallego Enzyme Microb Technol 39 2006,,Glyoxyl-agarose: a fully inert hydrophilic support for immobilization and high stabilization of proteins,2006
14_Mateo_2007_BiotechnolAdv,Enzyme stabilization by multipoint covalent attachment,"[23,",b33,"Selective oxidation: stabilisation by multipoint attachment of ferredoxin NADP+ reductase, an interesting cofactor recycling enzyme M Teresa Bes Carlos Gomez-Moreno Jose M Guisan Roberto Fernandez-Lafuente 10.1016/1381-1169(95)00019-4 Journal of Molecular Catalysis A: Chemical Journal of Molecular Catalysis A: Chemical 1381-1169 98 3 1995 Elsevier BV",10.1016/1381-1169(95)00019-4,"Selective oxidation: stabilisation by multipoint attachment of ferredoxin NADP+ reductase, an interesting cofactor recycling enzyme",1995
14_Mateo_2007_BiotechnolAdv,Enzyme stabilization by multipoint covalent attachment,"24,",b34,Stabilization of a formate dehydrogenase by covalent immobilization on highly activated glyoxyl-agarose supports J M Bolivar L Wilson S A Ferrarotti R Fernandez-Lafuente J M Guisan C Mateo Biomacromolecules 7 2006,,Stabilization of a formate dehydrogenase by covalent immobilization on highly activated glyoxyl-agarose supports,2006
14_Mateo_2007_BiotechnolAdv,Enzyme stabilization by multipoint covalent attachment,"29,",b39,Effect of the support and experimental conditions in the intensity of the multipoint covalent attachment of proteins on glyoxyl-agarose supports: Correlation between enzyme–support linkages and thermal stability Justo Pedroche Maria Del Mar Yust Cesar Mateo Roberto Fernández-Lafuente Julio Girón-Calle Manuel Alaiz Javier Vioque José M Guisán Francisco Millán 10.1016/j.enzmictec.2006.08.023 Enzyme and Microbial Technology Enzyme and Microbial Technology 0141-0229 40 5 2007 Elsevier BV,10.1016/j.enzmictec.2006.08.023,Effect of the support and experimental conditions in the intensity of the multipoint covalent attachment of proteins on glyoxyl-agarose supports: Correlation between enzyme–support linkages and thermal stability,2007
14_Mateo_2007_BiotechnolAdv,Enzyme stabilization by multipoint covalent attachment,"30,",b40,Glyoxyl-agarose: a fully inert hydrophilic support for immobilization and high stabilization of proteins C Mateo J M Palomo M Fuentes L Betancor V Grazu F López-Gallego Enzyme Microb Technol 39 2006,,Glyoxyl-agarose: a fully inert hydrophilic support for immobilization and high stabilization of proteins,2006
14_Mateo_2007_BiotechnolAdv,Enzyme stabilization by multipoint covalent attachment,"33,",b43,Some special features of glyoxyl supports to immobilize proteins Cesar Mateo Olga Abian Marieta Bernedo Emma Cuenca Manuel Fuentes Gloria Fernandez-Lorente Jose M Palomo Valeria Grazu Benevides C C Pessela Cecilia Giacomini Gabriela Irazoqui Andrea Villarino Karen Ovsejevi Francisco Batista-Viera Roberto Fernandez-Lafuente Jose M Guisán 10.1016/j.enzmictec.2005.03.020 Enzyme and Microbial Technology Enzyme and Microbial Technology 0141-0229 37 4 2005 Elsevier BV,10.1016/j.enzmictec.2005.03.020,Some special features of glyoxyl supports to immobilize proteins,2005
14_Mateo_2007_BiotechnolAdv,Enzyme stabilization by multipoint covalent attachment,"[31,",b41,"Eupergit® C, a carrier for immobilization of enzymes of industrial potential Ephraim Katchalski-Katzir Dieter M Kraemer 10.1016/s1381-1177(00)00124-7 Journal of Molecular Catalysis B: Enzymatic Journal of Molecular Catalysis B: Enzymatic 1381-1177 10 1-3 2000 Elsevier BV",10.1016/s1381-1177(00)00124-7,"Eupergit® C, a carrier for immobilization of enzymes of industrial potential",2000
14_Mateo_2007_BiotechnolAdv,Enzyme stabilization by multipoint covalent attachment,[71],b81,Immobilization of a thermostable alpha-amylase onto reactive membranes: kinetics characterization and application to continuous starch hydrolysis G Bayramoglu M Yilmaz M Y Arica Food Chem 84 2004,,Immobilization of a thermostable alpha-amylase onto reactive membranes: kinetics characterization and application to continuous starch hydrolysis,2004
14_Mateo_2007_BiotechnolAdv,Enzyme stabilization by multipoint covalent attachment,[72],b82,Poly(hydroxyethyl methacrylate-coglycidyl methacrylate) reactive membrane utilised for cholesterol oxidase immobilisation S Akgol G Bayramoglu Y Kacar Polym Int 51 2002,,Poly(hydroxyethyl methacrylate-coglycidyl methacrylate) reactive membrane utilised for cholesterol oxidase immobilisation,2002
14_Mateo_2007_BiotechnolAdv,Enzyme stabilization by multipoint covalent attachment,[73],b83,"Acetyl esterase from Mediterranean oranges: partial purification, immobilisation and biotransformations P Pasta R Verga F Zambianchi M Daminati Biocatal Biotrans 22 2004",,"Acetyl esterase from Mediterranean oranges: partial purification, immobilisation and biotransformations",2004
14_Mateo_2007_BiotechnolAdv,Enzyme stabilization by multipoint covalent attachment,[74],b84,Phospholipids hydrolysis in organic solvents catalysed by immobilised phospholipase C T Anthonsen D 'arrigo P Pedrocchi-Fantoni G J Mol Catal B: Enzym 6 1999,,Phospholipids hydrolysis in organic solvents catalysed by immobilised phospholipase C,1999
14_Mateo_2007_BiotechnolAdv,Enzyme stabilization by multipoint covalent attachment,[75],b85,Immobilization of dextransucrase from Leuconostoc mesenteroides NRRL B-512F on Eupergit C supports Gómez De Segura A Alcalde M Yates M Rojas-Cervantes M L López-Cortés N Ballesteros A Biotechnol Prog 20 2004,,Immobilization of dextransucrase from Leuconostoc mesenteroides NRRL B-512F on Eupergit C supports,2004
14_Mateo_2007_BiotechnolAdv,Enzyme stabilization by multipoint covalent attachment,[76],b86,Production of 5 -ribonucleotides using immobilized 5 -phospho-diesterase R Keller M Schlingmann R Woernle Methods Enzymol 136 1987,,Production of 5 -ribonucleotides using immobilized 5 -phospho-diesterase,1987
14_Mateo_2007_BiotechnolAdv,Enzyme stabilization by multipoint covalent attachment,[77],b87,Glyoxylic acid purification using immobilized glycolate oxidase and catalase J E Seip S K Faber D L Gavagan R C Anton Bioorg Med Chem 2 1994,,Glyoxylic acid purification using immobilized glycolate oxidase and catalase,1994
