key,doi,title,year,journal,primary_pillar,best_method,confidence,all_pillars,methods_present,cited_by_reviews,rule_hits
10.1002/9783527634026,10.1002/9783527634026,Protein Engineering Handbook,2009.0,Protein Engineering Handbook,Design & Engineering,section_only,0.83,Design & Engineering,section_only,01_Bornscheuer_2012_Nature;05_Reetz_2013_JACS,
10.1002/9783527639861,10.1002/9783527639861,Enzyme Catalysis in Organic Synthesis,2012.0,Enzyme Catalysis in Organic Synthesis,"Sustainability, Metrics & Industrialization",section_only,0.61,"Sustainability, Metrics & Industrialization",section_only,01_Bornscheuer_2012_Nature,
10.1002/9783527665785.ch08,10.1002/9783527665785.ch08,Strategies for Cofactor Regeneration in Biocatalyzed Reductions,2013.0,Synthetic Methods for Biologically Active Molecules: Exploring the Potential of Bioreductions,Cofactor & Energy Management,consensus,1.0,Cofactor & Energy Management,consensus,18_Wachtmeister_2016_CurrOpinBiotechnol,P6:\bcofactors?\b|\bNADP?\+?\b|\bNADH\b|\bNADPH\b|\bflavins?\b|\bFAD\b|\bFMN\b|\bPLP\b; P6:\b(cofactor|NAD(P)?H|ATP)\s+(regenerat\w*|recycl\w*|supply)\b|\bcofactor[- ]?independent\b
10.1002/9783527677122,10.1002/9783527677122,Applied Biocatalysis: From Fundamental Science to Industrial Applications,2016.0,Applied Biocatalysis: From Fundamental Science to Industrial Applications,"Sustainability, Metrics & Industrialization",paper_only,1.0,"Sustainability, Metrics & Industrialization",paper_only,10_Yi_2021_ChemSocRev,P10:\bindustrial\b|\bscale[- ]?up\b|\bGMP\b|\bICH\b|\bQbD\b|\bHAZOP\b|\bTRL\b|\bprocess validation\b
10.1002/9783527682492,10.1002/9783527682492,Cascade Biocatalysis,2014.0,Cascade Biocatalysis: Integrating Stereoselective and Environmentally Friendly Reactions,Cofactor & Energy Management,section_priority,1.0,Cofactor & Energy Management,section_priority,17_Schrittwieser_2018_ChemRev,P7:\b(cascade|multi[- ]enzym\w*)\b|\btelescop(ed|ing)\b
10.1002/adma.19970091203,10.1002/adma.19970091203,Entrapment of biocatalysts in hydrophobic sol‐gel materials for use in organic chemistry,1997.0,Advanced Materials,Immobilization & Materials,consensus,0.76,Immobilization & Materials,consensus,14_Mateo_2007_BiotechnolAdv,P4:\borganic solvent(s)?\b|\bsolvent[- ]toleran\w*|\bcosolvents?\b|\blog ?P\b; P5:\bimmobiliz\w*|\breus(e|ability)\b; P9:\bglycosyl(transferase|ation)\b|\bglycosidase\b|\bnitrilase\b|\bnitrile hydratase\b|\bepoxide hydrolase\b|\blipase\b|\besterase\b
10.1002/adsc.200303016,10.1002/adsc.200303016,Second Generation Sol‐Gel Encapsulated Lipases: Robust Heterogeneous Biocatalysts,2003.0,Advanced Synthesis & Catalysis,Immobilization & Materials,paper_only,0.591,Immobilization & Materials,paper_only,15_Sheldon_2013_ChemSocRev,P5:\bimmobiliz\w*|\breus(e|ability)\b; P9:\bglycosyl(transferase|ation)\b|\bglycosidase\b|\bnitrilase\b|\bnitrile hydratase\b|\bepoxide hydrolase\b|\blipase\b|\besterase\b
10.1002/adsc.200505049,10.1002/adsc.200505049,Room Temperature Ionic Liquids in the Kinetic Resolution of Adrenaline‐Type Aminoethanols by <i>Burkholderia cepacia</i> Lipase under Normal and Microwave Conditions,2005.0,Advanced Synthesis & Catalysis,Media & Microenvironment,paper_only,0.569,Media & Microenvironment,paper_only,13_Sheldon_2007_ChemRev,P4:\bionic liquids?\b|\bILs?\b|\bdeep eutectic\b|\bDES\b|\bsupercritical CO2\b|\bscCO2\b; P5:\bimmobiliz\w*|\breus(e|ability)\b; P9:\bglycosyl(transferase|ation)\b|\bglycosidase\b|\bnitrilase\b|\bnitrile hydratase\b|\bepoxide hydrolase\b|\blipase\b|\besterase\b
10.1002/adsc.200606224,10.1002/adsc.200606224,Facile Preparation of an Enzyme‐Immobilized Microreactor using a Cross‐Linking Enzyme Membrane on a Microchannel Surface,2006.0,Advanced Synthesis & Catalysis,"Reactors, Flow & In-Line Operations",paper_only,0.601,"Reactors, Flow & In-Line Operations",paper_only,15_Sheldon_2013_ChemSocRev,P4:\borganic solvent(s)?\b|\bsolvent[- ]toleran\w*|\bcosolvents?\b|\blog ?P\b; P5:\bimmobiliz\w*|\breus(e|ability)\b; P8:\bflow\b|\bcontinuous\b|\bCSTR\b|\bPFR\b|\bplug[- ]flow\b|\bpacked[- ]bed\b|\bPBR\b|\bcolumn reactor\b; P8:\bmicroreactor\b|\bmicrofluidic\b|\bmillifluidic\b|\btube[- ]in[- ]tube\b|\bloop reactor\b
10.1002/adsc.200700082,10.1002/adsc.200700082,Enzyme Immobilization: The Quest for Optimum Performance,2007.0,Advanced Synthesis & Catalysis,"Reactors, Flow & In-Line Operations",section_priority,1.0,"Reactors, Flow & In-Line Operations",section_priority,02_Sheldon_2018_ChemRev;15_Sheldon_2013_ChemSocRev;16_Britton_2018_ChemSocRev,P5:\bimmobiliz\w*|\breus(e|ability)\b; P5:\bcarrier\b|\bsupport\b|\bresin\b|\bbeads?\b|\bagarose\b|\bglyoxyl\b|\bepoxy\b|\bboronic\b|\baldehyde[- ]activated\b; P5:\bCLEA(s)?\b|\bCLEC(s)?\b|\bsol[- ]gel\b|\bhydrogel(s)?\b|\bmesoporous\b|\bEziG\b|\bMOF(s)?\b|\bmagnetic nanoparticles?\b; P10:\bindustrial\b|\bscale[- ]?up\b|\bGMP\b|\bICH\b|\bQbD\b|\bHAZOP\b|\bTRL\b|\bprocess validation\b
10.1002/adsc.200800625,10.1002/adsc.200800625,Synthesis of Aliphatic (<i>S</i>)‐α‐Hydroxycarboxylic Amides using a One‐Pot Bienzymatic Cascade of Immobilised Oxynitrilase and Nitrile Hydratase,2009.0,Advanced Synthesis & Catalysis,Cascade & Route Design,paper_only,0.591,Cascade & Route Design,paper_only,02_Sheldon_2018_ChemRev,P4:\borganic solvent(s)?\b|\bsolvent[- ]toleran\w*|\bcosolvents?\b|\blog ?P\b; P5:\bCLEA(s)?\b|\bCLEC(s)?\b|\bsol[- ]gel\b|\bhydrogel(s)?\b|\bmesoporous\b|\bEziG\b|\bMOF(s)?\b|\bmagnetic nanoparticles?\b; P7:\b(cascade|multi[- ]enzym\w*)\b|\btelescop(ed|ing)\b; P9:\bglycosyl(transferase|ation)\b|\bglycosidase\b|\bnitrilase\b|\bnitrile hydratase\b|\bepoxide hydrolase\b|\blipase\b|\besterase\b
10.1002/adsc.201000313,10.1002/adsc.201000313,Fully Enzymatic Peptide Synthesis using <i>C</i>‐Terminal <i>tert</i>‐Butyl Ester Interconversion,2010.0,Advanced Synthesis & Catalysis,Cascade & Route Design,paper_only,1.0,Cascade & Route Design,paper_only,15_Sheldon_2013_ChemSocRev,P7:\bone[- ]pot\b|\btandem\b|\bchemo[- ]?enzymatic\b|\bchemoenzymatic\b
10.1002/adsc.201100256,10.1002/adsc.201100256,Multi‐Enzymatic Cascade Reactions: Overview and Perspectives,2011.0,Advanced Synthesis & Catalysis,Cascade & Route Design,paper_only,1.0,Cascade & Route Design,paper_only,02_Sheldon_2018_ChemRev,P7:\b(cascade|multi[- ]enzym\w*)\b|\btelescop(ed|ing)\b
10.1002/adsc.201100384,10.1002/adsc.201100384,Catalytic and Structural Features of Flavoprotein Hydroxylases and Epoxidases,2011.0,Adv. Synth. Catal,"Sustainability, Metrics & Industrialization",paper_only,1.0,"Sustainability, Metrics & Industrialization",paper_only,04_Winkler_2021_ACSCentSci,P10:\bindustrial\b|\bscale[- ]?up\b|\bGMP\b|\bICH\b|\bQbD\b|\bHAZOP\b|\bTRL\b|\bprocess validation\b
10.1002/adsc.201200759,10.1002/adsc.201200759,A New Type of Stereoselectivity in Baeyer–Villiger Reactions: Access to <i>E</i>‐ and <i>Z</i>‐Olefins,2013.0,Advanced Synthesis & Catalysis,Design & Engineering,paper_only,1.0,Design & Engineering,paper_only,05_Reetz_2013_JACS,P2:\bdirected evolution\b|\berror[- ]?prone PCR\b|\bcontinuous evolution\b|\b(PACE|OrthoRep)\b; P2:\b(active[- ]?site|tunnel|pocket)\s+(engineering|mutation|remodel(ing)?)\b|\bQM/?MM\b|\bRosetta\b|\bFoldX\b|\bmolecular dynamics\b|\bMD simulation\b; P9:\bBVMO\b|\bmonooxygenase\b|\bperoxygenase\b|\bP450\b|\bhalogenase\b|\bflavin[- ]dependent\b
10.1002/adsc.201201057,10.1002/adsc.201201057,Asymmetric Synthesis of 3‐Substituted Cyclohexylamine Derivatives from Prochiral Diketones <i>via</i> Three Biocatalytic Steps,2013.0,Advanced Synthesis & Catalysis,Reaction Space & Enzyme Portfolios,paper_only,0.612,Reaction Space & Enzyme Portfolios,paper_only,04_Winkler_2021_ACSCentSci,P4:\borganic solvent(s)?\b|\bsolvent[- ]toleran\w*|\bcosolvents?\b|\blog ?P\b; P7:\b(cascade|multi[- ]enzym\w*)\b|\btelescop(ed|ing)\b; P9:\btransaminase\b|\baminotransferase\b|\bω-?TA\b|\bIRED\b|\bRedAm\b|\bAmDH\b|\bMAO\b|\bmonoamine oxidase\b; P9:\bglycosyl(transferase|ation)\b|\bglycosidase\b|\bnitrilase\b|\bnitrile hydratase\b|\bepoxide hydrolase\b|\blipase\b|\besterase\b
10.1002/adsc.201301055,10.1002/adsc.201301055,Nitrile as Activating Group in the Asymmetric Bioreduction of β‐Cyanoacrylic Acids Catalyzed by Ene‐Reductases,2014.0,Advanced Synthesis & Catalysis,Reaction Space & Enzyme Portfolios,section_only,1.0,Reaction Space & Enzyme Portfolios,section_only,04_Winkler_2021_ACSCentSci;09_Bommarius_2015_AnnuRevChemBiomolEng,
10.1002/adsc.201400453,10.1002/adsc.201400453,"Sequential Biocatalytic Aldol Reactions in Multistep Asymmetric Synthesis: Pipecolic Acid, Piperidine and Pyrrolidine (Homo)Iminocyclitol Derivatives from Achiral Building Blocks",2014.0,Advanced Synthesis & Catalysis,Cascade & Route Design,paper_only,0.512,Cascade & Route Design,paper_only,11_Hanefeld_2022_ChemSocRev,P7:\bone[- ]pot\b|\btandem\b|\bchemo[- ]?enzymatic\b|\bchemoenzymatic\b; P9:\baldolase\b|\bDERA\b|\bFSA\b|\bHNL\b|\bThDP\b|\btransketolase\b|\bTK\b|\bPAL\b|\baldoxime dehydratase\b|\bCAR\b
10.1002/adsc.201500202,10.1002/adsc.201500202,Designer Microorganisms for Optimized Redox Cascade Reactions – Challenges and Future Perspectives,2015.0,Advanced Synthesis & Catalysis,Cofactor & Energy Management,section_priority,1.0,Cofactor & Energy Management,section_priority,17_Schrittwieser_2018_ChemRev,P1:\bmetagenome[- ]assembled genomes?\b|\bMAGs?\b|\bbinn?ing\b|\bcontigs?\b|\bscaffolds?\b|\bassembly\b; P7:\b(cascade|multi[- ]enzym\w*)\b|\btelescop(ed|ing)\b
10.1002/adsc.201500213,10.1002/adsc.201500213,Biocatalytic Imine Reduction and Reductive Amination of Ketones,2015.0,Advanced Synthesis & Catalysis,Cofactor & Energy Management,paper_only,1.0,Cofactor & Energy Management,paper_only,04_Winkler_2021_ACSCentSci,P6:\bcofactors?\b|\bNADP?\+?\b|\bNADH\b|\bNADPH\b|\bflavins?\b|\bFAD\b|\bFMN\b|\bPLP\b
10.1002/adsc.201500902,10.1002/adsc.201500902,A Continuous‐Flow Cascade Reactor System for Subtilisin A‐ Catalyzed Dynamic Kinetic Resolution of <i>N</i>‐<i>tert</i>‐Butyloxycarbonylphenylalanine Ethyl Thioester with Benzylamine,2016.0,Advanced Synthesis & Catalysis,Immobilization & Materials,paper_only,0.506,Immobilization & Materials,paper_only,16_Britton_2018_ChemSocRev,P5:\bimmobiliz\w*|\breus(e|ability)\b; P5:\bAmberlite\b|\bLewatit\b|\bSepabeads?\b|\bSilica gel\b|\bSBA-15\b|\bMCM-41\b; P7:\b(cascade|multi[- ]enzym\w*)\b|\btelescop(ed|ing)\b; P8:\bflow\b|\bcontinuous\b|\bCSTR\b|\bPFR\b|\bplug[- ]flow\b|\bpacked[- ]bed\b|\bPBR\b|\bcolumn reactor\b
10.1002/adsc.201700356,10.1002/adsc.201700356,"NAD(P)H‐Dependent Dehydrogenases for the Asymmetric Reductive Amination of Ketones: Structure, Mechanism, Evolution and Application",2017.0,Advanced Synthesis & Catalysis,Cofactor & Energy Management,paper_only,1.0,Cofactor & Energy Management,paper_only,04_Winkler_2021_ACSCentSci,P6:\bcofactors?\b|\bNADP?\+?\b|\bNADH\b|\bNADPH\b|\bflavins?\b|\bFAD\b|\bFMN\b|\bPLP\b
10.1002/adsc.201800132,10.1002/adsc.201800132,Biocatalytic Process for (−)‐Ambrox Production Using Squalene Hopene Cyclase,2015.0,Advanced Synthesis & Catalysis,Biocatalyst Formats & Cellular Context,paper_only,0.681,Biocatalyst Formats & Cellular Context,paper_only,20_Buller_2023_Science,P3:\bwhole[- ]cell(s)?\b|\bresting cell(s)?\b|\bpermeabilis; P9:\bcyclase\b|\bSHC\b|\bterpene synthase\b|\bPictet[-– ]Spengler(ase)?\b; P10:\bindustrial\b|\bscale[- ]?up\b|\bGMP\b|\bICH\b|\bQbD\b|\bHAZOP\b|\bTRL\b|\bprocess validation\b
10.1002/adsc.201801061,10.1002/adsc.201801061,Biocatalytic <i>N</i>‐Acylation of Amines in Water Using an Acyltransferase from <i>Mycobacterium smegmatis</i>,2018.0,Advanced Synthesis & Catalysis,Media & Microenvironment,paper_only,1.0,Media & Microenvironment,paper_only,11_Hanefeld_2022_ChemSocRev,P4:\btwo[- ]liquid[- ]phase\b|\bbiphasic\b|\bmicro[- ]aqueous\b|\bpartition(ing)?\b
10.1002/adsc.201801326,10.1002/adsc.201801326,"Imine Reductase‐Catalyzed Enantioselective Reduction of Bulky α,β‐Unsaturated Imines en Route to a Pharmaceutically Important Morphinan Skeleton",2019.0,Advanced Synthesis & Catalysis,Reaction Space & Enzyme Portfolios,paper_only,1.0,Reaction Space & Enzyme Portfolios,paper_only,10_Yi_2021_ChemSocRev,P9:\btransaminase\b|\baminotransferase\b|\bω-?TA\b|\bIRED\b|\bRedAm\b|\bAmDH\b|\bMAO\b|\bmonoamine oxidase\b
10.1002/adsc.201900149,10.1002/adsc.201900149,Can Machine Learning Revolutionize Directed Evolution of Selective Enzymes?,2019.0,Adv. Synth. Catal,Design & Engineering,paper_only,0.771,Design & Engineering,paper_only,04_Winkler_2021_ACSCentSci;10_Yi_2021_ChemSocRev,P2:\bdirected evolution\b|\berror[- ]?prone PCR\b|\bcontinuous evolution\b|\b(PACE|OrthoRep)\b; P2:\bsite[- ]saturation\b|\bsaturation mutagenesis\b|\bNDT\b|\bVHG\b|\b22c[- ]?trick\b|\bNNK\b|\bCAST\b|\bISM\b; P5:\bcarrier\b|\bsupport\b|\bresin\b|\bbeads?\b|\bagarose\b|\bglyoxyl\b|\bepoxy\b|\bboronic\b|\baldehyde[- ]activated\b
10.1002/adsc.201900178,10.1002/adsc.201900178,"Chemoenzymatic Approach to (<i>S</i>)‐1,2,3,4‐Tetrahydroisoquinoline Carboxylic Acids Employing D‐Amino Acid Oxidase",2019.0,Advanced Synthesis & Catalysis,Cascade & Route Design,paper_only,0.536,Cascade & Route Design,paper_only,10_Yi_2021_ChemSocRev,P1:\bgenome mining\b|\bmetagenom\w*\b|\bbioprospect\w*\b|\bbiopanning\b; P7:\bone[- ]pot\b|\btandem\b|\bchemo[- ]?enzymatic\b|\bchemoenzymatic\b
10.1002/adsc.201900275,10.1002/adsc.201900275,Non‐Oxidative Enzymatic (De)Carboxylation of (Hetero)Aromatics and Acrylic Acid Derivatives,2019.0,Advanced Synthesis & Catalysis,Cofactor & Energy Management,paper_only,1.0,Cofactor & Energy Management,paper_only,04_Winkler_2021_ACSCentSci,P6:\bcofactors?\b|\bNADP?\+?\b|\bNADH\b|\bNADPH\b|\bflavins?\b|\bFAD\b|\bFMN\b|\bPLP\b
10.1002/adsc.201900694,10.1002/adsc.201900694,Enzyme‐Catalysed Synthesis of Secondary and Tertiary Amides,2019.0,Advanced Synthesis & Catalysis,"Sustainability, Metrics & Industrialization",paper_only,1.0,"Sustainability, Metrics & Industrialization",paper_only,04_Winkler_2021_ACSCentSci,P10:\bPMI\b|\bprocess mass intensity\b|\bE[- ]?factor\b|\batom economy\b|\bgreen (chemistry|metrics)\b; P10:\bindustrial\b|\bscale[- ]?up\b|\bGMP\b|\bICH\b|\bQbD\b|\bHAZOP\b|\bTRL\b|\bprocess validation\b
10.1002/adsc.201901112,10.1002/adsc.201901112,Deracemisation Processes Employing Organocatalysis and Enzyme Catalysis,2020.0,Adv. Synth. Catal,Biocatalyst Formats & Cellular Context,paper_only,1.0,Biocatalyst Formats & Cellular Context,paper_only,04_Winkler_2021_ACSCentSci,P3:\bwhole[- ]cell(s)?\b|\bresting cell(s)?\b|\bpermeabilis
10.1002/andp.18280880206,10.1002/andp.18280880206,Ueber Kunstliche Bildung des Harnstoffs,,Ann. Phys,Immobilization & Materials,section_priority,1.0,Immobilization & Materials,section_priority,04_Winkler_2021_ACSCentSci,P4:\bionic liquids?\b|\bILs?\b|\bdeep eutectic\b|\bDES\b|\bsupercritical CO2\b|\bscCO2\b
10.1002/anie.199013201,10.1002/anie.199013201,Organic Synthesis -Where Now?,,"Angew. Chem., Int",Immobilization & Materials,section_priority,1.0,Immobilization & Materials,section_priority,04_Winkler_2021_ACSCentSci,P10:\bindustrial\b|\bscale[- ]?up\b|\bGMP\b|\bICH\b|\bQbD\b|\bHAZOP\b|\bTRL\b|\bprocess validation\b
10.1002/anie.199503011,10.1002/anie.199503011,Efficient Heterogeneous Biocatalysts by Entrapment of Lipases in Hydrophobic Sol–Gel Materials,1995.0,Angewandte Chemie International Edition in English,Media & Microenvironment,section_only,1.0,Media & Microenvironment,section_only,12_Carrea_2000_ACIE,
10.1002/anie.200300599,10.1002/anie.200300599,Industrial Methods for the Production of Optically Active Intermediates,2004.0,Angewandte Chemie International Edition,"Sustainability, Metrics & Industrialization",paper_only,1.0,"Sustainability, Metrics & Industrialization",paper_only,01_Bornscheuer_2012_Nature,P10:\bindustrial\b|\bscale[- ]?up\b|\bGMP\b|\bICH\b|\bQbD\b|\bHAZOP\b|\bTRL\b|\bprocess validation\b
10.1002/anie.200301664,10.1002/anie.200301664,Immobilizing Enzymes: How to Create More Suitable Biocatalysts,2003.0,Angewandte Chemie International Edition,Immobilization & Materials,consensus,1.0,Immobilization & Materials,consensus,14_Mateo_2007_BiotechnolAdv,P5:\bimmobiliz\w*|\breus(e|ability)\b
10.1002/anie.200460091,10.1002/anie.200460091,Ionic Liquids for the Convenient Synthesis of Functional Nanoparticles and Other Inorganic Nanostructures,2004.0,Angewandte Chemie International Edition,Media & Microenvironment,paper_only,1.0,Media & Microenvironment,paper_only,13_Sheldon_2007_ChemRev,P4:\borganic solvent(s)?\b|\bsolvent[- ]toleran\w*|\bcosolvents?\b|\blog ?P\b; P4:\bionic liquids?\b|\bILs?\b|\bdeep eutectic\b|\bDES\b|\bsupercritical CO2\b|\bscCO2\b
10.1002/anie.200460852,10.1002/anie.200460852,Chemoenzymatic Synthesis of Building Blocks for Statin Side Chains,2005.0,Angewandte Chemie International Edition,Cofactor & Energy Management,section_priority,1.0,Cofactor & Energy Management,section_priority,09_Bommarius_2015_AnnuRevChemBiomolEng,P7:\bone[- ]pot\b|\btandem\b|\bchemo[- ]?enzymatic\b|\bchemoenzymatic\b
10.1002/anie.200500767,10.1002/anie.200500767,Expanding the Range of Substrate Acceptance of Enzymes: Combinatorial Active‐Site Saturation Test,2005.0,Angewandte Chemie International Edition,Design & Engineering,paper_only,1.0,Design & Engineering,paper_only,09_Bommarius_2015_AnnuRevChemBiomolEng,P2:\bsite[- ]saturation\b|\bsaturation mutagenesis\b|\bNDT\b|\bVHG\b|\b22c[- ]?trick\b|\bNNK\b|\bCAST\b|\bISM\b
