key,pillar_num,pillar,method,confidence,doi,title,year,raw_citation,cited_by_reviews,authors,journal
an unusual flavin-dependent halogenase from the metagenome of the marine sponge theonella swinhoei wa d r m smith acs chem. biol 12 2017,1,Discovery & Sourcing of Biocatalysts,section_only,1.0,,An unusual flavin-dependent halogenase from the metagenome of the marine sponge Theonella swinhoei WA,2017.0,An unusual flavin-dependent halogenase from the metagenome of the marine sponge Theonella swinhoei WA D R M Smith ACS Chem. Biol 12 2017,03_Bell_2021_NatRevMethodsPrimers,[],ACS Chem. Biol
10.1093/nar/gkw1099,1,Discovery & Sourcing of Biocatalysts,section_only,1.0,10.1093/nar/gkw1099,UniProt: the universal protein knowledgebase,2017.0,UniProt: the universal protein knowledgebase A Bateman 10.1093/nar/gkw1099 Nucleic Acids Research Nucleic Acids Res 0305-1048 1362-4962 45 D1 2017 Oxford University Press (OUP),03_Bell_2021_NatRevMethodsPrimers;20_Buller_2023_Science,['The UniProt Consortium'],Nucleic Acids Research
10.1038/s41467-018-04964-5,1,Discovery & Sourcing of Biocatalysts,paper_only,1.0,10.1038/s41467-018-04964-5,Clustering huge protein sequence sets in linear time,2018.0,Clustering huge protein sequence sets in linear time Martin Steinegger 0000-0001-8781-9753 Johannes Söding 0000-0001-9642-8244 10.1038/s41467-018-04964-5 Nature Communications Nat Commun 2041-1723 9 1 2542 2018 Springer Science and Business Media LLC,20_Buller_2023_Science,"['Martin Steinegger', 'Johannes Söding']",Nature Communications
10.1038/s41396-018-0215-9,1,Discovery & Sourcing of Biocatalysts,consensus,0.783,10.1038/s41396-018-0215-9,Metagenomics reveals functional synergy and novel polysaccharide utilization loci in the <i>Castor canadensis</i> fecal microbiome,2018.0,Metagenomics reveals functional synergy and novel polysaccharide utilization loci in the <i>Castor canadensis</i> fecal microbiome Zachary Armstrong 0000-0002-4086-2946 Keith Mewis Feng Liu Connor Morgan-Lang Melanie Scofield Evan Durno Hong Ming Chen Kevin Mehr Stephen G Withers Steven J Hallam 0000-0002-4889-6876 10.1038/s41396-018-0215-9 The ISME Journal 1751-7362 1751-7370 12 11 2018 Oxford University Press (OUP),03_Bell_2021_NatRevMethodsPrimers,"['Zachary Armstrong', 'Steven J Hallam']",The ISME Journal
10.1128/aem.02404-18,1,Discovery & Sourcing of Biocatalysts,union_strong,1.0,10.1128/aem.02404-18,Bioprospecting Reveals Class III ω-Transaminases Converting Bulky Ketones and Environmentally Relevant Polyamines,2019.0,Bioprospecting Reveals Class III ω-Transaminases Converting Bulky Ketones and Environmentally Relevant Polyamines Cristina Coscolín Nadine Katzke Antonio García-Moyano José Navarro-Fernández David Almendral Mónica Martínez-Martínez Alexander Bollinger Rafael Bargiela Christoph Gertler Tatyana N Chernikova David Rojo Coral Barbas 0000-0003-4722-491X Hai Tran Olga V Golyshina Rainhard Koch Michail M Yakimov 0000-0003-1418-363X Gro E K Bjerga Peter N Golyshin 0000-0002-5433-0350 Karl-Erich Jaeger 0000-0002-6036-0708 Manuel Ferrer 0000-0003-4962-4714 10.1128/aem.02404-18 Applied and Environmental Microbiology Appl Environ Microbiol 0099-2240 1098-5336 85 2 2019 American Society for Microbiology,03_Bell_2021_NatRevMethodsPrimers,"['Cristina Coscolín', 'Manuel Ferrer']",Applied and Environmental Microbiology
10.1002/adsc.201900178,1,Discovery & Sourcing of Biocatalysts,paper_only,0.524,10.1002/adsc.201900178,"Chemoenzymatic Approach to (<i>S</i>)‐1,2,3,4‐Tetrahydroisoquinoline Carboxylic Acids Employing D‐Amino Acid Oxidase",2019.0,"Chemoenzymatic Approach to (<i>S</i>)‐1,2,3,4‐Tetrahydroisoquinoline Carboxylic Acids Employing D‐Amino Acid Oxidase Shuyun Ju Mingxin Qian Gang Xu Lirong Yang Jianping Wu 10.1002/adsc.201900178 Advanced Synthesis & Catalysis Adv Synth Catal 1615-4150 1615-4169 361 13 2019 Wiley",10_Yi_2021_ChemSocRev,"['Shuyun Ju', 'Jianping Wu']",Advanced Synthesis & Catalysis
10.1016/j.ymben.2019.07.002,1,Discovery & Sourcing of Biocatalysts,paper_only,1.0,10.1016/j.ymben.2019.07.002,High level production of flavonoid rhamnosides by metagenome-derived Glycosyltransferase C in Escherichia coli utilizing dextrins of starch as a single carbon source,2019.0,High level production of flavonoid rhamnosides by metagenome-derived Glycosyltransferase C in Escherichia coli utilizing dextrins of starch as a single carbon source Constantin Ruprecht Friedericke Bönisch Nele Ilmberger Tanja V Heyer Erhard T K Haupt Wolfgang R Streit Ulrich Rabausch 10.1016/j.ymben.2019.07.002 Metabolic Engineering Metabolic Engineering 1096-7176 55 2019 Elsevier BV,10_Yi_2021_ChemSocRev,"['Constantin Ruprecht', 'Ulrich Rabausch']",Metabolic Engineering
this article identifies a two-enzyme system from a large gut microbiome library that enables generation of universal o-type blood from a-type donors p rahfeld nat. microbiol 4 2019 an enzymatic pathway in the human gut microbiome that converts a to universal o type blood,1,Discovery & Sourcing of Biocatalysts,section_only,1.0,,This article identifies a two-enzyme system from a large gut microbiome library that enables generation of universal O-type blood from A-type donors,2019.0,This article identifies a two-enzyme system from a large gut microbiome library that enables generation of universal O-type blood from A-type donors P Rahfeld Nat. Microbiol 4 2019 An enzymatic pathway in the human gut microbiome that converts A to universal O type blood,03_Bell_2021_NatRevMethodsPrimers,[],Nat. Microbiol
s charnock a m bernardini e monza m f lucas p w sutton p w applied biocatalysis j whittall sutton wiley 2020,1,Discovery & Sourcing of Biocatalysts,section_only,1.0,,Applied Biocatalysis,2020.0,S Charnock A M Bernardini E Monza M F Lucas P W Sutton P W Applied Biocatalysis J Whittall Sutton Wiley 2020,03_Bell_2021_NatRevMethodsPrimers,[],Applied Biocatalysis
10.1039/d0lc00830c,1,Discovery & Sourcing of Biocatalysts,paper_only,0.51,10.1039/d0lc00830c,Growth amplification in ultrahigh-throughput microdroplet screening increases sensitivity of clonal enzyme assays and minimizes phenotypic variation,2021.0,Growth amplification in ultrahigh-throughput microdroplet screening increases sensitivity of clonal enzyme assays and minimizes phenotypic variation Paul Jannis Zurek 0000-0002-7049-0813 Raphaëlle Hours Ursula Schell Ahir Pushpanath Florian Hollfelder 0000-0002-1367-6312 10.1039/d0lc00830c Lab on a Chip Lab Chip 1473-0197 1473-0189 21 1 2021 Royal Society of Chemistry (RSC),10_Yi_2021_ChemSocRev,"['Paul Jannis Zurek', 'Florian Hollfelder']",Lab on a Chip
10.1038/s41557-020-00606-w,1,Discovery & Sourcing of Biocatalysts,paper_only,1.0,10.1038/s41557-020-00606-w,Screening and characterization of a diverse panel of metagenomic imine reductases for biocatalytic reductive amination,2021.0,Screening and characterization of a diverse panel of metagenomic imine reductases for biocatalytic reductive amination James R Marshall Peiyuan Yao 0000-0003-4029-5985 Sarah L Montgomery James D Finnigan 0000-0002-8514-784X Thomas W Thorpe Ryan B Palmer Juan Mangas-Sanchez Richard A M Duncan 0000-0002-6822-7039 Rachel S Heath 0000-0003-1910-8268 Kirsty M Graham Darren J Cook Simon J Charnock Nicholas J Turner 0000-0002-8708-0781 10.1038/s41557-020-00606-w Nature Chemistry Nat. Chem. 1755-4330 1755-4349 13 2 2021 Springer Science and Business Media LLC,10_Yi_2021_ChemSocRev,"['James R. Marshall', 'Nicholas J. Turner']",Nature Chemistry
10.1126/science.ade2574,1,Discovery & Sourcing of Biocatalysts,paper_only,0.82,10.1126/science.ade2574,Evolutionary-scale prediction of atomic-level protein structure with a language model,2023.0,Evolutionary-scale prediction of atomic-level protein structure with a language model Zeming Lin 0000-0002-0883-1373 Halil Akin 0000-0003-1666-3223 Roshan Rao 0000-0003-4412-3742 Brian Hie 0000-0003-3224-8142 Zhongkai Zhu Wenting Lu Nikita Smetanin Robert Verkuil 0000-0001-9533-7623 Ori Kabeli 0000-0002-4153-2463 Yaniv Shmueli 0000-0002-3581-2485 Allan Dos Santos Costa 0000-0001-8061-339X Maryam Fazel-Zarandi Tom Sercu 0000-0003-2947-6064 Salvatore Candido 0000-0002-5847-0617 Alexander Rives 0000-0003-2208-0796 10.1126/science.ade2574 Science Science 0036-8075 1095-9203 379 6637 2023 American Association for the Advancement of Science (AAAS),20_Buller_2023_Science,"['Zeming Lin', 'Alexander Rives']",Science
10.1093/nar/gkac1080,1,Discovery & Sourcing of Biocatalysts,paper_only,1.0,10.1093/nar/gkac1080,MGnify: the microbiome sequence data analysis resource in 2023,2023.0,MGnify: the microbiome sequence data analysis resource in 2023 Lorna Richardson 0000-0002-3655-5660 Ben Allen Germana Baldi Martin Beracochea Maxwell L Bileschi Tony Burdett 0000-0002-2513-5396 Josephine Burgin 0000-0002-9818-1094 Juan Caballero-Pérez 0000-0002-6160-3644 Guy Cochrane 0000-0001-7954-7057 Lucy J Colwell Tom Curtis Alejandra Escobar-Zepeda Tatiana A Gurbich 0000-0002-7537-8871 Varsha Kale Anton Korobeynikov Shriya Raj 0000-0002-1973-6347 Alexander B Rogers Ekaterina Sakharova Santiago Sanchez Darren J Wilkinson Robert D Finn 0000-0001-8626-2148 10.1093/nar/gkac1080 Nucleic Acids Research 0305-1048 1362-4962 51 D1 2023 Oxford University Press (OUP),20_Buller_2023_Science,"['Lorna Richardson', 'Robert D Finn']",Nucleic Acids Research
l rosenthaler biochem. z 14 1908,2,Design & Engineering,section_only,1.0,,Biochem. Z,1908.0,L Rosenthaler Biochem. Z 14 1908,10_Yi_2021_ChemSocRev,[],Biochem. Z
directed evolution of metabolic pathways in microbial populations. i. modification of the acid phosphatase ph optimum in s. cerevisiae j c francis p e hansche genetics 70 1972,2,Design & Engineering,paper_priority,1.0,,Directed evolution of metabolic pathways in microbial populations. I. Modification of the acid phosphatase pH optimum in S. cerevisiae,1972.0,Directed evolution of metabolic pathways in microbial populations. I. Modification of the acid phosphatase pH optimum in S. cerevisiae J C Francis P E Hansche Genetics 70 1972,01_Bornscheuer_2012_Nature,[],Genetics
enzymic division of dl-phenylglycinamide into its optically active antipodes (german patent no w h boesten de 2526594. 1976,2,Design & Engineering,section_only,1.0,,Enzymic Division of DL-phenylglycinamide into its optically active antipodes (German patent no,1976.0,Enzymic Division of DL-phenylglycinamide into its optically active antipodes (German patent no W H Boesten DE 2526594. 1976,08_Schmid_2001_Nature,[],DE
10.1021/acscatal.1c01776.s001,2,Design & Engineering,section_only,1.0,10.1021/acscatal.1c01776.s001,Rigidifying a De Novo Enzyme Increases Activity and Induces a Negative Activation Heat Capacity,1977.0,Rigidifying a De Novo Enzyme Increases Activity and Induces a Negative Activation Heat Capacity W H J Boesten L R Meyer-Hoffman 10.1021/acscatal.1c01776.s001 Enzyme product with L-Ȋ-aminoacylamidase activity American Chemical Society (ACS) 1977 1577087,08_Schmid_2001_Nature,[],Enzyme product with L-Ȋ-aminoacylamidase activity
"phenolic developer resins a r pokora w l cyrus 1987 us 647 952 dayton, oh",2,Design & Engineering,section_only,0.309,,Phenolic developer resins,1987.0,"Phenolic developer resins A R Pokora W L Cyrus 1987 US 647 952 Dayton, OH",08_Schmid_2001_Nature,[],Phenolic developer resins
application of nitrile converting enzymes for the production of useful compounds t nagasawa h yamada pure appl. chem 62 1990,2,Design & Engineering,section_only,0.309,,Application of nitrile converting enzymes for the production of useful compounds,1990.0,Application of nitrile converting enzymes for the production of useful compounds T Nagasawa H Yamada Pure Appl. Chem 62 1990,08_Schmid_2001_Nature,[],Pure Appl. Chem
10.1021/ja00164a001,2,Design & Engineering,paper_only,1.0,10.1021/ja00164a001,Enzyme-catalyzed regioselective acylation of castanospermine,1990.0,"Enzyme-catalyzed regioselective acylation of castanospermine Alexey L Margolin Deborah L Delinck Michael R Whalon 10.1021/ja00164a001 Journal of the American Chemical Society J. Am. Chem. Soc. 0002-7863 1520-5126 112 8 1990, 112, 2849 ± 2854 American Chemical Society (ACS)",12_Carrea_2000_ACIE,"['Alexey L. Margolin', 'Michael R. Whalon']",Journal of the American Chemical Society
10.1007/978-1-4757-4597-9,2,Design & Engineering,section_only,0.309,10.1007/978-1-4757-4597-9,Biocatalysts for Industry,1991.0,Biocatalysts for Industry J S Dordick 10.1007/978-1-4757-4597-9 Biocatalysts for Industry New York Springer US 1991,08_Schmid_2001_Nature,[],Biocatalysts for Industry
epibatidine: a novel (chloropyridyl) azabicycloheptane with potent analgesic activity from an ecuadoran poison frog t f spande j. am. chem. soc 114 1992,2,Design & Engineering,section_only,1.0,,Epibatidine: A novel (chloropyridyl) azabicycloheptane with potent analgesic activity from an Ecuadoran poison frog,1992.0,Epibatidine: A novel (chloropyridyl) azabicycloheptane with potent analgesic activity from an Ecuadoran poison frog T F Spande J. Am. Chem. Soc 114 1992,08_Schmid_2001_Nature,[],J. Am. Chem. Soc
dna shuffling by random fragmentation and reassembly: in vitro recombination for molecular evolution w p stemmer nature 370 1994,2,Design & Engineering,union_strong,1.0,,DNA shuffling by random fragmentation and reassembly: in vitro recombination for molecular evolution,1994.0,DNA shuffling by random fragmentation and reassembly: in vitro recombination for molecular evolution W P Stemmer Nature 370 1994,08_Schmid_2001_Nature,[],Nature
"examples of directed evolution of aldolases: (a) m t reetz j d carballeira nat protoc w p stemmer k a powell s w ramer s b del cardayre w p c stemmer m b tobin p f longchamp g w huisman s fong t d machajewski c c mak c.-h wong angew. chem., int. ed 370 32 873 2007, 2, 891. 1994. 2001. 2000 nature chem. biol.",2,Design & Engineering,consensus,1.0,,Examples of directed evolution of aldolases: (a),1994.0,"Examples of directed evolution of aldolases: (a) M T Reetz J D Carballeira Nat Protoc W P Stemmer K A Powell S W Ramer S B Del Cardayre W P C Stemmer M B Tobin P F Longchamp G W Huisman S Fong T D Machajewski C C Mak C.-H Wong Angew. Chem., Int. Ed 370 32 873 2007, 2, 891. 1994. 2001. 2000 Nature Chem. Biol.",05_Reetz_2013_JACS,[],"Angew. Chem., Int. Ed"
10.1038/370389a0,2,Design & Engineering,consensus,0.757,10.1038/370389a0,Rapid evolution of a protein in vitro by DNA shuffling,1994.0,Rapid evolution of a protein in vitro by DNA shuffling Willem P C Stemmer 10.1038/370389a0 Nature Nature 0028-0836 1476-4687 370 6488 1994 Springer Science and Business Media LLC,02_Sheldon_2018_ChemRev;03_Bell_2021_NatRevMethodsPrimers;07_Turner_2009_NatChemBiol,['Willem P. C. Stemmer'],Nature
sequence statistics reliably predict stabilizing mutations in a protein domain b steipe b schiller a pluckthun s steinbacher j. mol. biol 240 1994,2,Design & Engineering,section_only,1.0,,Sequence statistics reliably predict stabilizing mutations in a protein domain,1994.0,Sequence statistics reliably predict stabilizing mutations in a protein domain B Steipe B Schiller A Pluckthun S Steinbacher J. Mol. Biol 240 1994,09_Bommarius_2015_AnnuRevChemBiomolEng,[],J. Mol. Biol
10.1002/anie.199412141,2,Design & Engineering,section_only,1.0,10.1002/anie.199412141,Synthetic DNA and Biology (Nobel Lecture),1994.0,Synthetic DNA and Biology (Nobel Lecture) Michael Smith 10.1002/anie.199412141 Angewandte Chemie International Edition in English Angew. Chem. Int. Ed. Engl. 0570-0833 33 12 1994 Wiley,05_Reetz_2013_JACS,['Michael Smith'],Angewandte Chemie International Edition in English
directed evolution: creating biocatalysts for the future f h arnold chem. eng. sci 51 1996,2,Design & Engineering,union_strong,1.0,,Directed evolution: creating biocatalysts for the future,1996.0,Directed evolution: creating biocatalysts for the future F H Arnold Chem. Eng. Sci 51 1996,07_Turner_2009_NatChemBiol,[],Chem. Eng. Sci
quantitative structure-activity relationships for the in-vitro antimycobacterial activity for pyrazinoic acid esters k e bergmann m h cynamon j t welch j. med. chem 39 1996,2,Design & Engineering,section_only,1.0,,Quantitative structure-activity relationships for the in-vitro antimycobacterial activity for pyrazinoic acid esters,1996.0,Quantitative structure-activity relationships for the in-vitro antimycobacterial activity for pyrazinoic acid esters K E Bergmann M H Cynamon J T Welch J. Med. Chem 39 1996,08_Schmid_2001_Nature,[],J. Med. Chem
"bioconversion of 2-cyanopyrazine to 5-hydroxypyrazine-2carboxylic acid with agrobacterium sp. dsm 6336 m wieser k heinzmann a kiener appl. microbiol. biotechnol 48 1997 lonza, ep-b 0578137.",2,Design & Engineering,section_only,1.0,,Bioconversion of 2-cyanopyrazine to 5-hydroxypyrazine-2carboxylic acid with Agrobacterium sp. DSM 6336,1997.0,"Bioconversion of 2-cyanopyrazine to 5-hydroxypyrazine-2carboxylic acid with Agrobacterium sp. DSM 6336 M Wieser K Heinzmann A Kiener Appl. Microbiol. Biotechnol 48 1997 Lonza, EP-B 0578137.",08_Schmid_2001_Nature,[],Appl. Microbiol. Biotechnol
10.1007/978-3-642-97607-0,2,Design & Engineering,section_only,0.309,10.1007/978-3-642-97607-0,Biotransformations in Organic Chemistry — A Textbook,1997.0,Biotransformations in Organic Chemistry — A Textbook Kurt Faber 10.1007/978-3-642-97607-0 1997 Springer Berlin Heidelberg Berlin,08_Schmid_2001_Nature,['Kurt Faber'],Biotransformations in Organic Chemistry — A Textbook
10.1007/s11746-997-0035-y,2,Design & Engineering,paper_only,1.0,10.1007/s11746-997-0035-y,Comparative study of commercially available lipases in hydrolysis reaction of phosphatidylcholine,1997.0,Comparative study of commercially available lipases in hydrolysis reaction of phosphatidylcholine Fumiko Hara Toshimitsu Nakashima Hideki Fukuda 10.1007/s11746-997-0035-y Journal of the American Oil Chemists' Society J Americ Oil Chem Soc 0003-021X 1558-9331 74 9 1997 Wiley,16_Britton_2018_ChemSocRev,"['Fumiko Hara', 'Hideki Fukuda']",Journal of the American Oil Chemists' Society
dsm gets the biocatalysis bug q b broxterman w h j boesten h e schoemaker b schulze spec. chem 17 1997,2,Design & Engineering,section_only,1.0,,DSM gets the biocatalysis bug,1997.0,DSM gets the biocatalysis bug Q B Broxterman W H J Boesten H E Schoemaker B Schulze Spec. Chem 17 1997,08_Schmid_2001_Nature,[],Spec. Chem
"preparation of (s)-piperazine-2carboxylic acid, (r)-piperazine-2-carboxylic acid, and (s)-piperidine-2-carboxylic acid by kinetic resolution of the corresponding racemic carboxamides with stereoselective amidases in whole bacterial cells e eichhorn j.-p roduit n shaw k heinzmann a kiener tetrahedr. asym 8 1997 lonza, ep-a 0686698; wo 96/35775.",2,Design & Engineering,union_strong,1.0,,"Preparation of (S)-piperazine-2carboxylic acid, (R)-piperazine-2-carboxylic acid, and (S)-piperidine-2-carboxylic acid by kinetic resolution of the corresponding racemic carboxamides with stereoselective amidases in whole bacterial cells",1997.0,"Preparation of (S)-piperazine-2carboxylic acid, (R)-piperazine-2-carboxylic acid, and (S)-piperidine-2-carboxylic acid by kinetic resolution of the corresponding racemic carboxamides with stereoselective amidases in whole bacterial cells E Eichhorn J.-P Roduit N Shaw K Heinzmann A Kiener Tetrahedr. Asym 8 1997 Lonza, EP-A 0686698; WO 96/35775.",08_Schmid_2001_Nature,[],Tetrahedr. Asym
"renewable functionalized pyridines derived from microbial metabolites of the alkaloid (s)-nicotine j.-p roduit a wellig a kiener heterocycles 46 1997 lonza, ep-b 0713869.",2,Design & Engineering,section_only,1.0,,Renewable functionalized pyridines derived from microbial metabolites of the alkaloid (S)-nicotine,1997.0,"Renewable functionalized pyridines derived from microbial metabolites of the alkaloid (S)-nicotine J.-P Roduit A Wellig A Kiener Heterocycles 46 1997 Lonza, EP-B 0713869.",08_Schmid_2001_Nature,[],Heterocycles
dna shuffling of a family of genes from diverse species accelerates directed evolution a crameri nature 391 1998,2,Design & Engineering,union_strong,1.0,,DNA shuffling of a family of genes from diverse species accelerates directed evolution,1998.0,DNA shuffling of a family of genes from diverse species accelerates directed evolution A Crameri Nature 391 1998,07_Turner_2009_NatChemBiol,[],Nature
enzymes in polymer science: an introduction d l kaplan j s dordick r a gross g swift am. chem. soc. symp. ser 684 1998,2,Design & Engineering,section_only,0.309,,Enzymes in polymer science: an introduction,1998.0,Enzymes in polymer science: an introduction D L Kaplan J S Dordick R A Gross G Swift Am. Chem. Soc. Symp. Ser 684 1998,08_Schmid_2001_Nature,[],Am. Chem. Soc. Symp. Ser
10.1128/aem.64.6.2032-2043.1998,2,Design & Engineering,union_strong,1.0,10.1128/aem.64.6.2032-2043.1998,Towards a Biocatalyst for ( <i>S</i> )-Styrene Oxide Production: Characterization of the Styrene Degradation Pathway of <i>Pseudomonas</i> sp. Strain VLB120,1998.0,Towards a Biocatalyst for ( <i>S</i> )-Styrene Oxide Production: Characterization of the Styrene Degradation Pathway of <i>Pseudomonas</i> sp. Strain VLB120 Sven Panke Bernard Witholt Andreas Schmid Marcel G Wubbolts 10.1128/aem.64.6.2032-2043.1998 Applied and Environmental Microbiology Appl Environ Microbiol 0099-2240 1098-5336 64 6 1998. 1998 American Society for Microbiology Published erratum appears in Appl. Environ. Microbiol.,08_Schmid_2001_Nature,"['Sven Panke', 'Marcel G. Wubbolts']",Applied and Environmental Microbiology
verfahren zur herstellung chiraler carbonsäuren (basf; german patent no m ress-löschke t friedrich b hauer r mattes d engels de 198 1998,2,Design & Engineering,section_only,1.0,,Verfahren zur Herstellung chiraler Carbonsäuren (BASF; German patent no,1998.0,Verfahren zur Herstellung chiraler Carbonsäuren (BASF; German patent no M Ress-Löschke T Friedrich B Hauer R Mattes D Engels DE 198 1998,08_Schmid_2001_Nature,[],DE
directed evolution of biocatalysts f h arnold a a volkov curr. opin. chem. biol 3 1999,2,Design & Engineering,union_strong,1.0,,Directed evolution of biocatalysts,1999.0,Directed evolution of biocatalysts F H Arnold A A Volkov Curr. Opin. Chem. Biol 3 1999,08_Schmid_2001_Nature,[],Curr. Opin. Chem. Biol
structure and mechanism in protein science a fersht 1999 freeman new york,2,Design & Engineering,paper_only,1.0,,Structure and Mechanism in Protein Science,1999.0,Structure and Mechanism in Protein Science A Fersht 1999 Freeman New York,09_Bommarius_2015_AnnuRevChemBiomolEng,[],Structure and Mechanism in Protein Science
"enzyme mechanisms for polycyclic triterpene formation k u wendt g e schulz e j corey d r liu angew. chem., int. ed 39 2000",2,Design & Engineering,union_strong,1.0,,Enzyme Mechanisms for Polycyclic Triterpene Formation,2000.0,"Enzyme Mechanisms for Polycyclic Triterpene Formation K U Wendt G E Schulz E J Corey D R Liu Angew. Chem., Int. Ed 39 2000",17_Schrittwieser_2018_ChemRev,[],"Angew. Chem., Int. Ed"
10.1007/978-1-4615-4199-8_5,2,Design & Engineering,union_strong,1.0,10.1007/978-1-4615-4199-8_5,Enzyme Stabilization by Directed Evolution,2000.0,Enzyme Stabilization by Directed Evolution Anne Gershenson Frances H Arnold 10.1007/978-1-4615-4199-8_5 Genetic Engineering Springer US 2000 22,14_Mateo_2007_BiotechnolAdv,"['Anne Gershenson', 'Frances H. Arnold']",Genetic Engineering
